reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixreviewtime,reviewtime
R000067,B71489,User_67,"(3, 14)","average product, could be better.",4,highly recommend!,1669628881,"02 18, 2023"
R000068,B83717,User_68,"(7, 2)","terrible experience, won't buy again.",5,didn't meet expectations.,1686304081,"03 02, 2023"
R000069,B85908,User_69,"(8, 9)",not satisfied. quality is poor.,3,"not bad, but slow delivery.",1696240081,"10 24, 2022"
R000070,B30049,User_70,"(2, 15)","good quality, but expensive.",2,"not bad, but slow delivery.",1736416081,"09 12, 2024"
R000071,B68128,User_71,"(2, 9)","good quality, but expensive.",2,bad quality.,1700560081,"08 16, 2023"
R000072,B19019,User_72,"(8, 15)","terrible experience, won't buy again.",1,worst buy.,1678355281,"09 10, 2023"
R000073,B60981,User_73,"(9, 5)","terrible experience, won't buy again.",3,worst buy.,1731750481,"08 27, 2023"
R000074,B27771,User_74,"(3, 18)",excellent! highly recommended.,2,totally worth it!,1672134481,"04 22, 2023"
R000075,B94573,User_75,"(7, 11)","not what i expected, disappointed.",5,bad quality.,1733219281,"12 01, 2024"
R000076,B40995,User_76,"(9, 17)",amazing product! works as expected.,4,overpriced but good.,1676454481,"06 09, 2024"
R000077,B22322,User_77,"(3, 5)","not what i expected, disappointed.",2,totally worth it!,1735206481,"01 01, 2025"
R000078,B83545,User_78,"(8, 6)","good quality, but expensive.",3,great purchase!,1716025681,"06 02, 2023"
R000079,B43548,User_79,"(9, 19)",amazing product! works as expected.,5,"not bad, but slow delivery.",1696931281,"08 16, 2024"
R000080,B32050,User_80,"(8, 1)",amazing product! works as expected.,5,just okay.,1697104081,"04 01, 2023"
R000081,B73296,User_81,"(1, 4)","good quality, but expensive.",5,overpriced but good.,1679651281,"04 21, 2024"
R000082,B21378,User_82,"(8, 18)","not what i expected, disappointed.",5,"not bad, but slow delivery.",1740044881,"01 31, 2023"
R000083,B74887,User_83,"(8, 13)","terrible experience, won't buy again.",3,highly recommend!,1673084881,"07 20, 2024"
R000084,B39823,User_84,"(0, 8)","terrible experience, won't buy again.",5,loved it!,1736588881,"09 10, 2022"
R000085,B47578,User_85,"(6, 9)",amazing product! works as expected.,3,didn't meet expectations.,1707990481,"06 08, 2023"
R000086,B83412,User_86,"(0, 3)","very useful, worth the price.",2,highly recommend!,1700732881,"08 01, 2022"
R000087,B17918,User_87,"(1, 8)",not satisfied. quality is poor.,1,just okay.,1731232081,"01 12, 2025"
R000088,B62126,User_88,"(4, 11)","not what i expected, disappointed.",5,totally worth it!,1678441681,"05 31, 2023"
R000089,B63150,User_89,"(6, 7)",amazing product! works as expected.,3,overpriced but good.,1697104081,"08 01, 2023"
R000090,B56319,User_90,"(5, 3)","terrible experience, won't buy again.",4,loved it!,1722160081,"03 16, 2025"
R000091,B50968,User_91,"(9, 18)",excellent! highly recommended.,5,highly recommend!,1657878481,"07 29, 2024"
R000092,B63936,User_92,"(0, 5)","good quality, but expensive.",2,totally worth it!,1686649681,"12 29, 2023"
R000093,B90102,User_93,"(5, 7)",fantastic! exceeded expectations.,4,highly recommend!,1705744081,"01 14, 2025"
R000094,B21070,User_94,"(2, 9)","good quality, but expensive.",4,highly recommend!,1703670481,"01 13, 2024"
R000095,B31644,User_95,"(3, 13)","very useful, worth the price.",4,loved it!,1702028881,"12 23, 2024"
R000096,B87771,User_96,"(1, 15)","terrible experience, won't buy again.",3,bad quality.,1728640081,"09 06, 2022"
R000097,B38855,User_97,"(1, 7)","average product, could be better.",2,overpriced but good.,1696931281,"05 14, 2023"
R000098,B63985,User_98,"(0, 4)",excellent! highly recommended.,5,"not bad, but slow delivery.",1739612881,"12 16, 2024"
R000099,B21746,User_99,"(9, 9)","terrible experience, won't buy again.",1,overpriced but good.,1730972881,"08 25, 2023"
R000100,B18232,User_100,"(3, 8)","average product, could be better.",2,great purchase!,1671011281,"12 15, 2023"
R000101,B79734,User_101,"(9, 12)","terrible experience, won't buy again.",1,highly recommend!,1718704081,"02 20, 2023"
R000102,B39566,User_102,"(5, 3)",not satisfied. quality is poor.,2,just okay.,1662803281,"08 26, 2022"
R000103,B83146,User_103,"(8, 14)",fantastic! exceeded expectations.,3,didn't meet expectations.,1693648081,"05 21, 2024"
R000104,B83145,User_104,"(7, 1)",fantastic! exceeded expectations.,5,totally worth it!,1692870481,"03 28, 2024"
R000105,B46388,User_105,"(6, 13)","terrible experience, won't buy again.",4,totally worth it!,1716889681,"10 15, 2023"
R000106,B61530,User_106,"(4, 18)",decent product but delivery was slow.,2,worst buy.,1713779281,"12 06, 2024"
R000107,B62925,User_107,"(0, 14)","very useful, worth the price.",3,didn't meet expectations.,1703584081,"10 19, 2024"
R000108,B85473,User_108,"(8, 6)","terrible experience, won't buy again.",4,loved it!,1678009681,"10 12, 2024"
R000109,B53314,User_109,"(5, 10)","very useful, worth the price.",2,totally worth it!,1668592081,"03 06, 2025"
R000110,B75313,User_110,"(7, 16)","very useful, worth the price.",4,worst buy.,1717235281,"01 18, 2023"
R000111,B14443,User_111,"(1, 12)",not satisfied. quality is poor.,2,great purchase!,1734688081,"11 26, 2022"
R000112,B59584,User_112,"(9, 16)",amazing product! works as expected.,1,"not bad, but slow delivery.",1739958481,"06 02, 2024"
R000113,B51023,User_113,"(7, 9)","terrible experience, won't buy again.",4,bad quality.,1683539281,"09 10, 2022"
R000114,B37582,User_114,"(8, 11)",excellent! highly recommended.,4,great purchase!,1742464081,"05 12, 2024"
R000115,B31845,User_115,"(6, 8)","very useful, worth the price.",4,overpriced but good.,1663840081,"06 05, 2024"
R000116,B84731,User_116,"(0, 13)",decent product but delivery was slow.,3,worst buy.,1690364881,"07 12, 2023"
R000117,B31166,User_117,"(0, 1)",fantastic! exceeded expectations.,1,overpriced but good.,1685526481,"05 02, 2023"
R000118,B73740,User_118,"(1, 1)",not satisfied. quality is poor.,1,bad quality.,1708422481,"02 24, 2024"
R000119,B39014,User_119,"(1, 13)",not satisfied. quality is poor.,5,worst buy.,1731577681,"08 02, 2024"
R000120,B31993,User_120,"(3, 6)",fantastic! exceeded expectations.,2,bad quality.,1699955281,"06 11, 2023"
R000121,B23858,User_121,"(7, 7)","very useful, worth the price.",4,totally worth it!,1714816081,"08 27, 2023"
R000122,B98194,User_122,"(5, 19)",not satisfied. quality is poor.,5,didn't meet expectations.,1695116881,"02 07, 2024"
R000123,B82061,User_123,"(9, 5)",excellent! highly recommended.,2,worst buy.,1659260881,"02 11, 2023"
R000124,B31824,User_124,"(2, 10)","good quality, but expensive.",2,worst buy.,1674121681,"05 03, 2023"
R000125,B78717,User_125,"(7, 10)","average product, could be better.",5,loved it!,1736502481,"01 06, 2025"
R000126,B40242,User_126,"(8, 6)","good quality, but expensive.",3,didn't meet expectations.,1682156881,"04 04, 2023"
R000127,B96027,User_127,"(0, 12)","average product, could be better.",3,totally worth it!,1672220881,"12 08, 2023"
R000128,B61750,User_128,"(2, 11)",excellent! highly recommended.,3,highly recommend!,1685526481,"05 18, 2024"
R000129,B15968,User_129,"(1, 12)",fantastic! exceeded expectations.,1,totally worth it!,1673862481,"02 02, 2024"
R000130,B60011,User_130,"(8, 17)",decent product but delivery was slow.,1,great purchase!,1731318481,"04 04, 2024"
R000131,B68712,User_131,"(4, 12)","not what i expected, disappointed.",2,didn't meet expectations.,1673776081,"05 27, 2024"
R000132,B44943,User_132,"(4, 10)","average product, could be better.",1,great purchase!,1691660881,"10 11, 2024"
R000133,B64476,User_133,"(1, 2)","very useful, worth the price.",4,"not bad, but slow delivery.",1718963281,"10 24, 2024"
R000134,B94320,User_134,"(7, 13)",not satisfied. quality is poor.,1,totally worth it!,1662976081,"05 26, 2023"
R000135,B35932,User_135,"(5, 5)",amazing product! works as expected.,2,"not bad, but slow delivery.",1706694481,"08 02, 2023"
R000136,B95627,User_136,"(7, 13)","very useful, worth the price.",1,didn't meet expectations.,1721296081,"06 06, 2023"
R000137,B24055,User_137,"(8, 3)",amazing product! works as expected.,1,great purchase!,1722764881,"09 20, 2022"
R000138,B78731,User_138,"(5, 10)",amazing product! works as expected.,1,great purchase!,1685699281,"09 12, 2022"
R000139,B63769,User_139,"(2, 15)",fantastic! exceeded expectations.,3,highly recommend!,1738144081,"07 09, 2022"
R000140,B64939,User_140,"(4, 14)",excellent! highly recommended.,5,great purchase!,1702720081,"03 01, 2025"
R000141,B44537,User_141,"(3, 4)",decent product but delivery was slow.,4,loved it!,1704361681,"12 23, 2022"
R000142,B58477,User_142,"(7, 4)",not satisfied. quality is poor.,3,totally worth it!,1681292881,"12 09, 2022"
R000143,B55746,User_143,"(1, 8)",excellent! highly recommended.,2,"not bad, but slow delivery.",1709891281,"02 10, 2024"
R000144,B87350,User_144,"(0, 6)","not what i expected, disappointed.",5,just okay.,1715680081,"08 28, 2024"
R000145,B47072,User_145,"(3, 19)",not satisfied. quality is poor.,2,didn't meet expectations.,1735638481,"01 28, 2024"
R000146,B60620,User_146,"(5, 2)",fantastic! exceeded expectations.,2,overpriced but good.,1702547281,"04 29, 2024"
R000147,B38899,User_147,"(5, 11)","not what i expected, disappointed.",2,bad quality.,1695376081,"03 13, 2025"
R000148,B58452,User_148,"(2, 18)","average product, could be better.",5,worst buy.,1692265681,"06 18, 2024"
R000149,B62980,User_149,"(7, 8)",fantastic! exceeded expectations.,2,"not bad, but slow delivery.",1657705681,"09 27, 2022"
R000150,B55771,User_150,"(8, 18)","average product, could be better.",3,loved it!,1688291281,"06 27, 2023"
R000151,B42556,User_151,"(4, 2)","average product, could be better.",1,totally worth it!,1684576081,"11 19, 2024"
R000152,B91575,User_152,"(7, 2)",fantastic! exceeded expectations.,2,"not bad, but slow delivery.",1693475281,"09 13, 2022"
R000153,B92033,User_153,"(9, 9)",amazing product! works as expected.,4,overpriced but good.,1725702481,"09 03, 2024"
R000154,B15510,User_154,"(5, 13)",amazing product! works as expected.,1,loved it!,1709977681,"12 23, 2023"
R000155,B75420,User_155,"(2, 3)","very useful, worth the price.",1,totally worth it!,1705830481,"04 20, 2024"
R000156,B75029,User_156,"(7, 16)","terrible experience, won't buy again.",1,loved it!,1705225681,"09 08, 2024"
R000157,B43188,User_157,"(3, 12)",amazing product! works as expected.,2,loved it!,1698832081,"12 11, 2023"
R000158,B99211,User_158,"(8, 12)",excellent! highly recommended.,5,loved it!,1662889681,"12 10, 2024"
R000159,B36832,User_159,"(3, 18)",amazing product! works as expected.,5,highly recommend!,1688982481,"10 17, 2024"
R000160,B45387,User_160,"(6, 11)",decent product but delivery was slow.,2,"not bad, but slow delivery.",1660384081,"09 15, 2022"
R000161,B53086,User_161,"(2, 11)","terrible experience, won't buy again.",1,"not bad, but slow delivery.",1669628881,"08 08, 2024"
R000162,B95063,User_162,"(8, 6)","average product, could be better.",4,just okay.,1704361681,"03 25, 2024"
R000163,B49367,User_163,"(7, 1)","very useful, worth the price.",4,loved it!,1740476881,"11 04, 2024"
R000164,B32477,User_164,"(8, 9)","good quality, but expensive.",1,"not bad, but slow delivery.",1676108881,"08 31, 2023"
R000165,B37703,User_165,"(1, 5)","average product, could be better.",2,worst buy.,1729763281,"06 01, 2023"
R000166,B67051,User_166,"(5, 12)",decent product but delivery was slow.,4,totally worth it!,1674553681,"12 21, 2024"
R000167,B97268,User_167,"(2, 14)",decent product but delivery was slow.,4,bad quality.,1681897681,"10 27, 2024"
R000168,B74442,User_168,"(6, 6)",decent product but delivery was slow.,2,bad quality.,1657187281,"07 02, 2023"
R000169,B82866,User_169,"(2, 10)","good quality, but expensive.",5,overpriced but good.,1683020881,"03 01, 2024"
R000170,B79513,User_170,"(3, 7)",fantastic! exceeded expectations.,2,highly recommend!,1690710481,"01 11, 2024"
R000171,B34038,User_171,"(2, 17)",excellent! highly recommended.,3,overpriced but good.,1725702481,"11 28, 2022"
R000172,B36387,User_172,"(8, 15)",fantastic! exceeded expectations.,5,great purchase!,1661939281,"11 14, 2023"
R000173,B30141,User_173,"(9, 4)","very useful, worth the price.",4,overpriced but good.,1675158481,"02 07, 2024"
R000174,B51724,User_174,"(4, 18)","average product, could be better.",1,overpriced but good.,1685958481,"06 13, 2023"
R000175,B96940,User_175,"(8, 3)",amazing product! works as expected.,5,"not bad, but slow delivery.",1685180881,"05 16, 2024"
R000176,B53103,User_176,"(2, 12)",amazing product! works as expected.,1,just okay.,1732268881,"01 29, 2024"
R000177,B31478,User_177,"(0, 14)",excellent! highly recommended.,1,"not bad, but slow delivery.",1724665681,"08 13, 2023"
R000178,B96052,User_178,"(8, 14)","average product, could be better.",3,great purchase!,1688291281,"03 13, 2024"
R000179,B54205,User_179,"(5, 15)",not satisfied. quality is poor.,4,didn't meet expectations.,1662198481,"05 29, 2023"
R000180,B33674,User_180,"(9, 18)",amazing product! works as expected.,2,highly recommend!,1692784081,"02 25, 2024"
R000181,B69513,User_181,"(8, 16)","terrible experience, won't buy again.",5,"not bad, but slow delivery.",1670320081,"11 12, 2023"
R000182,B51834,User_182,"(1, 9)",decent product but delivery was slow.,5,overpriced but good.,1675590481,"07 23, 2022"
R000183,B36209,User_183,"(3, 12)",amazing product! works as expected.,5,overpriced but good.,1660729681,"09 20, 2024"
R000184,B71335,User_184,"(0, 3)","average product, could be better.",2,loved it!,1722160081,"07 04, 2023"
R000185,B10000,User_185,"(5, 6)",excellent! highly recommended.,5,worst buy.,1715852881,"01 02, 2023"
R000186,B35876,User_186,"(2, 9)",fantastic! exceeded expectations.,3,loved it!,1686476881,"12 05, 2024"
R000187,B59388,User_187,"(8, 15)","terrible experience, won't buy again.",5,just okay.,1657446481,"09 19, 2022"
R000188,B47704,User_188,"(7, 2)","average product, could be better.",4,didn't meet expectations.,1704361681,"06 22, 2024"
R000189,B57191,User_189,"(0, 7)",amazing product! works as expected.,2,overpriced but good.,1697536081,"06 29, 2024"
R000190,B54453,User_190,"(6, 15)",decent product but delivery was slow.,5,bad quality.,1716803281,"04 03, 2024"
R000191,B61970,User_191,"(5, 2)",amazing product! works as expected.,1,just okay.,1725875281,"08 04, 2024"
R000192,B85658,User_192,"(7, 8)",not satisfied. quality is poor.,5,"not bad, but slow delivery.",1673171281,"02 07, 2024"
R000193,B45620,User_193,"(4, 7)","very useful, worth the price.",3,highly recommend!,1742896081,"01 06, 2024"
R000194,B74714,User_194,"(2, 13)","not what i expected, disappointed.",1,totally worth it!,1718704081,"12 11, 2024"
R000195,B44546,User_195,"(0, 10)","average product, could be better.",1,worst buy.,1723110481,"07 21, 2023"
R000196,B61327,User_196,"(1, 5)",decent product but delivery was slow.,5,bad quality.,1680515281,"12 06, 2023"
R000197,B26867,User_197,"(3, 1)","very useful, worth the price.",4,loved it!,1713952081,"10 05, 2024"
R000198,B76459,User_198,"(4, 12)","very useful, worth the price.",4,highly recommend!,1659779281,"06 15, 2024"
R000199,B67187,User_199,"(7, 9)",amazing product! works as expected.,1,highly recommend!,1670838481,"05 27, 2024"
R000200,B61157,User_200,"(5, 5)","not what i expected, disappointed.",4,"not bad, but slow delivery.",1741340881,"01 18, 2023"
R000201,B37705,User_201,"(7, 2)","average product, could be better.",3,overpriced but good.,1704966481,"02 13, 2024"
R000202,B52189,User_202,"(9, 4)",fantastic! exceeded expectations.,3,great purchase!,1699436881,"02 07, 2023"
R000203,B28881,User_203,"(4, 9)","very useful, worth the price.",3,worst buy.,1699868881,"03 11, 2023"
R000204,B68622,User_204,"(7, 5)",decent product but delivery was slow.,3,totally worth it!,1658224081,"08 27, 2024"
R000205,B63912,User_205,"(4, 16)",amazing product! works as expected.,2,overpriced but good.,1665481681,"12 08, 2022"
R000206,B84088,User_206,"(3, 5)","not what i expected, disappointed.",3,bad quality.,1706089681,"05 12, 2024"
R000207,B84724,User_207,"(0, 12)",excellent! highly recommended.,3,didn't meet expectations.,1734601681,"01 08, 2024"
R000208,B70735,User_208,"(4, 4)","good quality, but expensive.",1,highly recommend!,1695980881,"12 04, 2024"
R000209,B79356,User_209,"(5, 17)","very useful, worth the price.",2,didn't meet expectations.,1671443281,"05 07, 2024"
R000210,B53594,User_210,"(1, 14)","good quality, but expensive.",4,bad quality.,1723369681,"01 13, 2023"
R000211,B58060,User_211,"(5, 13)","good quality, but expensive.",3,loved it!,1680688081,"05 31, 2024"
R000212,B42366,User_212,"(1, 16)","terrible experience, won't buy again.",5,overpriced but good.,1696758481,"09 15, 2024"
R000213,B50266,User_213,"(0, 7)","terrible experience, won't buy again.",2,"not bad, but slow delivery.",1728640081,"10 03, 2023"
R000214,B26359,User_214,"(9, 13)",not satisfied. quality is poor.,3,didn't meet expectations.,1676627281,"12 30, 2022"
R000215,B48260,User_215,"(5, 5)",decent product but delivery was slow.,1,totally worth it!,1728121681,"10 27, 2024"
R000216,B89048,User_216,"(7, 8)","terrible experience, won't buy again.",3,bad quality.,1701510481,"03 18, 2025"
R000217,B21338,User_217,"(1, 2)",amazing product! works as expected.,5,overpriced but good.,1662371281,"09 09, 2022"
R000218,B36006,User_218,"(6, 4)","good quality, but expensive.",1,just okay.,1702374481,"03 06, 2023"
R000219,B49148,User_219,"(0, 1)",fantastic! exceeded expectations.,5,overpriced but good.,1676281681,"06 10, 2023"
R000220,B56615,User_220,"(3, 1)","average product, could be better.",1,overpriced but good.,1696844881,"08 28, 2022"
R000221,B59229,User_221,"(8, 14)","very useful, worth the price.",3,highly recommend!,1730627281,"07 13, 2024"
R000222,B64767,User_222,"(5, 10)",decent product but delivery was slow.,1,highly recommend!,1689068881,"04 09, 2024"
R000223,B36244,User_223,"(6, 4)",excellent! highly recommended.,5,overpriced but good.,1681379281,"08 12, 2023"
R000224,B17900,User_224,"(6, 6)","very useful, worth the price.",5,highly recommend!,1700732881,"07 07, 2023"
R000225,B41680,User_225,"(2, 4)",fantastic! exceeded expectations.,5,overpriced but good.,1689328081,"06 17, 2024"
R000226,B48599,User_226,"(3, 12)","good quality, but expensive.",3,highly recommend!,1656928081,"08 13, 2024"
R000227,B49357,User_227,"(0, 16)",fantastic! exceeded expectations.,5,totally worth it!,1660643281,"06 23, 2023"
R000228,B58835,User_228,"(3, 4)","average product, could be better.",2,worst buy.,1688809681,"09 05, 2023"
R000229,B80687,User_229,"(2, 10)","very useful, worth the price.",2,great purchase!,1709632081,"02 23, 2025"
R000230,B39862,User_230,"(4, 7)","terrible experience, won't buy again.",1,didn't meet expectations.,1701683281,"08 05, 2022"
R000231,B41925,User_231,"(7, 6)",not satisfied. quality is poor.,5,overpriced but good.,1715161681,"03 22, 2023"
R000232,B36588,User_232,"(5, 5)",excellent! highly recommended.,2,great purchase!,1727257681,"03 08, 2025"
R000233,B59254,User_233,"(4, 2)",amazing product! works as expected.,4,overpriced but good.,1738489681,"05 16, 2024"
R000234,B94180,User_234,"(9, 17)",amazing product! works as expected.,1,bad quality.,1736070481,"01 27, 2025"
R000235,B28756,User_235,"(9, 4)","not what i expected, disappointed.",3,didn't meet expectations.,1684316881,"01 09, 2023"
R000236,B72396,User_236,"(1, 4)","very useful, worth the price.",3,"not bad, but slow delivery.",1680342481,"12 11, 2023"
R000237,B94380,User_237,"(2, 1)",excellent! highly recommended.,4,"not bad, but slow delivery.",1666259281,"12 26, 2024"
R000238,B41865,User_238,"(1, 11)",amazing product! works as expected.,2,worst buy.,1714902481,"05 11, 2023"
R000239,B31015,User_239,"(9, 13)","average product, could be better.",3,didn't meet expectations.,1657705681,"07 15, 2023"
R000240,B16569,User_240,"(1, 4)","not what i expected, disappointed.",3,highly recommend!,1707472081,"11 30, 2022"
R000241,B23620,User_241,"(7, 8)",excellent! highly recommended.,3,overpriced but good.,1693302481,"06 27, 2023"
R000242,B88463,User_242,"(1, 1)",excellent! highly recommended.,1,"not bad, but slow delivery.",1658137681,"09 17, 2024"
R000243,B98566,User_243,"(9, 3)",not satisfied. quality is poor.,4,loved it!,1683366481,"01 09, 2025"
R000244,B67786,User_244,"(7, 13)","not what i expected, disappointed.",1,overpriced but good.,1698227281,"06 19, 2023"
R000245,B13131,User_245,"(0, 7)",decent product but delivery was slow.,4,totally worth it!,1673862481,"11 14, 2023"
R000246,B83602,User_246,"(5, 10)","good quality, but expensive.",5,just okay.,1717580881,"12 08, 2022"
R000247,B97887,User_247,"(4, 9)","terrible experience, won't buy again.",1,highly recommend!,1722764881,"12 25, 2023"
R000248,B44066,User_248,"(6, 7)",not satisfied. quality is poor.,1,didn't meet expectations.,1720777681,"10 12, 2022"
